REFERENCIA;REFERENCIAS ALTERNAS;NOMBRE;DESCRIPCION;MARCA;LINEA;SUB-LINEA;CLASIFICACION;INVENTARIO;PRECIO LISTA
139975/131208FAG;#N/D;RODILLO PLANET EJE DE SALIDA 46170 NP 171276;#N/D;FAG;DANA;DANA;DIFERENCIAL;38,00;#N/D
2297T7222;0;RODAJAS DE FRENO VIENEN (KIT8000HD);RODAJAS DE FRENO VIENEN (KIT8000HD);MERITOR;MERITOR;MERITOR;DIFERENCIAL;418,00;$ 12.624,00
4089431/180142PAI;4089431RK-MCBEE;KIT DE REPARACION PARA BOMBAS DE TRANSFERENCIA CUMMINS ISX IGUAL A LA REFERENCIA M-4089431RK DE MCBEE CONTIENE (132068 PAI (JUNTA DE LA BOMBA DE COMBUSTIBLE 2 Unds) + 180156 PAI (EJE DE TRANSMISIÓN 1 Und) + 131931 PAI (JUNTA DE SOPORTE 1 Und) + 132067 PAI (132067 2 Unds) + 121297 PAI (ORING 1 Und) + 121298 PAI (ORING 1 Und) + 121210 PAI (ORING 1 Und) + 136163 PAI (KIT DE SELLOS 1 Und) + 121431 PAI (ORING 1 Und) + 180155 PAI (EJE DE TRANSMISIÓN DE LA BOMBA DE COMBUSTIBLE 1 Und) + 131930 PAI ( 1 Und) + 131929 PAI (JUNTA 1 Und);KIT DE REPARACION PARA BOMBAS DE TRANSFERENCIA CUMMINS ISX IGUAL A LA REFERENCIA M-4089431RK DE MCBEE CONTIENE (132068 PAI (JUNTA DE LA BOMBA DE COMBUSTIBLE 2 Unds) + 180156 PAI (EJE DE TRANSMISIÓN 1 Und) + 131931 PAI (JUNTA DE SOPORTE 1 Und) + 132067 PAI (132067 2 Unds) + 121297 PAI (ORING 1 Und) + 121298 PAI (ORING 1 Und) + 121210 PAI (ORING 1 Und) + 136163 PAI (KIT DE SELLOS 1 Und) + 121431 PAI (ORING 1 Und) + 180155 PAI (EJE DE TRANSMISIÓN DE LA BOMBA DE COMBUSTIBLE 1 Und) + 131930 PAI ( 1 Und) + 131929 PAI (JUNTA 1 Und);PAI;PAI;PAI;MOTOR;11,00;$ 495.143,00
VAD7000 851 102;0;PISTON Y ANILLOS COMPRESOR 85 MM 0,50MM O (0,20) -WABCO;PISTON Y ANILLOS COMPRESOR 85 MM 0,50MM O (0,20) -WABCO;VADEN;VADEN;VADEN;AIRE;60,00;$ 100.000,00
10-2160SQC/1478211;0;VALVULA ESCAPE CAT 3126 6 POR MOTOR;VALVULA ESCAPE CAT 3126 6 POR MOTOR;QUALCAST;REPARACION CULATA;QUALCAST;MOTOR;90,00;$ 57.746,00
SET424MER/802804;#N/D;SET RODILLO Y PISTA (555S/552A) EXTERNO PARA RUEDA DELANTERA DE CAREZAPATO Y VOLQUETAS INTERNATIONAL COMPAÑERO (SET423), EL RODILLO SE UTILIZA TAMBIEN PARA EJE SALIDA DS 404 DELANTERA Y RS404 TRASERA;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;41,00;#N/D
20898038/0569PAI;0;SENSOR DE PRESION COMBUSTIBLE PARA MACK;SENSOR DE PRESION COMBUSTIBLE PARA MACK;PAI;PAI;PAI;MOTOR;28,00;$ 188.698,00
VAD25 04 12;8845032002 9111556522;CULATIN COMPRESOR WABCO FORD CARGO 1721 VA EN LA CULATA 25 04 10;CULATIN COMPRESOR WABCO FORD CARGO 1721 VA EN LA CULATA 25 04 10;VADEN;VADEN;VADEN;AIRE;26,00;$ 179.400,00
6-28-347;0;"OREJA BAJA ALT:3""031(7,698cm) X DIA INT:3""743(9,51cm) TUB:4"" / CURC:5-280/5-675";"OREJA BAJA ALT:3""031(7,698cm) X DIA INT:3""743(9,51cm) TUB:4"" / CURC:5-280/5-675";SPICER;DANA;DANA;DIFERENCIAL;13,00;$ 403.532,00
A40116-5;0;CORONA 7X45 TRASERA 46160 (R6.43);CORONA 7X45 TRASERA 46160 (R6.43);MERITOR;MERITOR;MERITOR;DIFERENCIAL;1,00;$ 5.167.022,00
5699LOCTITE 70ML;#N/D;SILICONA LOCTITE GRIS 70 ML ULTRAGREY;#N/D;LOCTITE;NACIONAL;NACIONAL;VARIOS;216,00;#N/D
PAI7141;0;KIT RODAMIENTOS TRANSMISION TRASERA MACK;KIT RODAMIENTOS TRANSMISION TRASERA MACK;PAI;PAI;PAI;MOTOR;2,00;$ 2.468.672,00
90008266/600.180MANS;"90008266 90008266KAT
90008266/501.240";BUJE DE LA PUNTA NEWAY ADZ;BUJE DE LA PUNTA NEWAY ADZ;MANSONS;MANSONS;MANSONS;SUSPENSION;102,00;$ 50.180,00
SET78TMK;KIT4340;SET RODILLO Y PISTA(55200C/55437) EXTERNO SPEED RS 404 TRASERA Y PARA 38.000LBS TRASERO;SET RODILLO Y PISTA(55200C/55437) EXTERNO SPEED RS 404 TRASERA Y PARA 38.000LBS TRASERO;TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;23,00;$ 188.005,00
4304931;4304931WAP;PIÑON 4TA CORREDIZO FS6406N;PIÑON 4TA CORREDIZO FS6406N;FULLER;FULLER;FULLER;TRANSMISION;13,00;$ 514.531,00
126306;0;PIÑON LOCO DIFERENCIAL 46 LBS;PIÑON LOCO DIFERENCIAL 46 LBS;SPICER;DANA;DANA;DIFERENCIAL;21,00;$ 224.923,00
K2805A;0;KIT ARANDELAS AJUSTE DE COLORES (CONTIENE 21456 (2) + 21457 (2) + 21458 (2) );KIT ARANDELAS AJUSTE DE COLORES (CONTIENE 21456 (2) + 21457 (2) + 21458 (2) );FULLER;FULLER;FULLER;TRANSMISION;278,00;ARME
SH2136/37/38/4309097 CLE;4309097 H0210501/502/534/4309097 MAH;BUJES DE LEVAS COMPLETO (KIT) (X14 UNDS) CUMMINS ISX CONTIENE (INYECCION GRUESO SH2136 = OEM 3680581/4319032 X3 UNDS) + (INYECCION GRUESO SH2137 = OEM 3680580/4319031 X4 UNDS) + (VALVULA DELGADO SH2138 = OEM 4026423/3685690 X7 UNDS);BUJES DE LEVAS COMPLETO (KIT) (X14 UNDS) CUMMINS ISX CONTIENE (INYECCION GRUESO SH2136 = OEM 3680581/4319032 X3 UNDS) + (INYECCION GRUESO SH2137 = OEM 3680580/4319031 X4 UNDS) + (VALVULA DELGADO SH2138 = OEM 4026423/3685690 X7 UNDS);CLEVITE;MAHLE;CLEVITE;MOTOR;13,00;$ 430.856,00
A11205X2728SELECT/3742;#N/D;"RETENEDOR DIVISOR 46160 DIAMETRO INTERNO 3-1/4""";#N/D;SELECT;DANA;DANA;DIFERENCIAL;53,00;#N/D
60218/10.596MANS;60218 000;BARRA TORSION COMPLETA (HEMBRA 10.593 Y MACHO 10.594) CON CORBATIN 10.273/47691, PARA SUSPENSION HAS460;BARRA TORSION COMPLETA (HEMBRA 10.593 Y MACHO 10.594) CON CORBATIN 10.273/47691, PARA SUSPENSION HAS460;MANSONS;MANSONS;MANSONS;SUSPENSION;14,00;$ 352.660,00
6.5-40-191WAP;0;"ESPIGO DESLIZANTE 16E 3"" 4 1/2"" K11 1/4"" C/BOTELLA 6.5-3-1371KX TUBO 4 1/2"" UNICA MEDIDA 19 1/2";"ESPIGO DESLIZANTE 16E 3"" 4 1/2"" K11 1/4"" C/BOTELLA 6.5-3-1371KX TUBO 4 1/2"" UNICA MEDIDA 19 1/2";WAP;WAP;WAP;TRANSMISION;20,00;$ 305.469,00
880878/89477;0;TENSOR AUTOMATICO DE CORREA MACK;TENSOR AUTOMATICO DE CORREA MACK;DAYCO;DAYCO;DAYCO;MOTOR;13,00;$ 413.982,00
JM21260/J&RM-9168/6CT MAH;0;EMPAQUETADURA COMPLETA CUMMINS 6CT(REF NUEVA BRASIL J&RM-9168/6 C/RET);EMPAQUETADURA COMPLETA CUMMINS 6CT(REF NUEVA BRASIL J&RM-9168/6 C/RET);MAHLE;MAHLE;MAHLE;MOTOR;7,00;$ 740.363,00
4304548;0;PIÑON DE REVERSA PARA EJE CORREDIZO DE LA FSB-5406B;PIÑON DE REVERSA PARA EJE CORREDIZO DE LA FSB-5406B;FULLER;FULLER;FULLER;TRANSMISION;9,00;$ 574.212,00
SPL140X/801038MER;SPL140X;CRUCETA SPL 140 L 14.5CM;CRUCETA SPL 140 L 14.5CM;MERITOR;MERITOR;MERITOR;DIFERENCIAL;39,00;$ 135.217,00
6902/20T3;#N/D;"BOLSA SUSPENSION TIPO HAMBURGUESA 6,31""";#N/D;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;17,00;#N/D
6696;0;ESPARRAGO SILLIN;ESPARRAGO SILLIN;HENDRICKSON;HENDRICKSON;HENDRICKSON;SUSPENSION;228,00;$ 20.073,00
89414/65420MER;0;AMORTIGUADOR TRASERO EAGLE GAS;AMORTIGUADOR TRASERO EAGLE GAS;MERITOR;AMORTIGUADORES;MERITOR;DIFERENCIAL;20,00;$ 254.305,00
E008225;0;MOTOR LIMPIABRISAS VOLVO;MOTOR LIMPIABRISAS VOLVO;SPRAGUE;CVG;CVG;VARIOS;15,00;$ 367.859,00
K3455/K4151;4307353;SENSOR VELOCIMETRO DE PRESION 4 PATAS;SENSOR VELOCIMETRO DE PRESION 4 PATAS;FULLER;FULLER;FULLER;TRANSMISION;35,00;$ 168.500,00
SPL170XTREJ/TRSPL170X;#N/D;CRUCETA CARDAN KENWORTH/INTERNATIONAL 2003 PRECISION 3947697;#N/D;TRANSEJES;DANA;DANA;DIFERENCIAL;37,00;#N/D
K4134/3005643;0;KIT DISCO COMPACTO FRENO INERCIA FO-16E318 CAJA AUTOMATIZADA (CON ARANDELA Y TUERCA;KIT DISCO COMPACTO FRENO INERCIA FO-16E318 CAJA AUTOMATIZADA (CON ARANDELA Y TUERCA;FULLER;FULLER;FULLER;TRANSMISION;4,00;$ 1.576.100,00
K3376/3005666;#N/D;CAUCHO TAPA BARRA TODAS;#N/D;FULLER;FULLER;FULLER;TRANSMISION;343,00;#N/D
20323B;#N/D;PLATO MONO 14715/14915/16915;#N/D;FULLER;FULLER;FULLER;TRANSMISION;17,00;#N/D
128462/128947ARM;#N/D;0;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;12,00;#N/D
86781;0;ARANDELA SATELITE ESCUALIZACIÓN . 46 LBS PLANA;ARANDELA SATELITE ESCUALIZACIÓN . 46 LBS PLANA;SPICER;DANA;DANA;DIFERENCIAL;279,00;$ 17.861,00
4307226;0;VALVULA REGULADORA DE PRESION DE INYECCION DE COMBUSTIBLE X15 (HASTA 36000 PSI PARA CM2350) (VALVULA REGULADORA DE INYECCION IPR);VALVULA REGULADORA DE PRESION DE INYECCION DE COMBUSTIBLE X15 (HASTA 36000 PSI PARA CM2350) (VALVULA REGULADORA DE INYECCION IPR);CUMMINS;CUMMINS;CUMMINS;MOTOR;6,00;$ 843.376,00
9039/SP559039KA;9039 1R12-095/9039GY;BOLSA TRAILER 10.12AN X9.50CCX12.20 AL +IT BASE ALUMINIO;BOLSA TRAILER 10.12AN X9.50CCX12.20 AL +IT BASE ALUMINIO;SAMPA;SAMPA;SAMPA;SUSPENSION;19,00;$ 256.924,00
14685000/MH8MANS;0;PASADOR HENDRICKSON 460 SUSPENSION TANDEM (DEL KIT 30437);PASADOR HENDRICKSON 460 SUSPENSION TANDEM (DEL KIT 30437);MANSONS;MANSONS;MANSONS;SUSPENSION;18,00;$ 313.729,00
MK0210710 STD MAH;459-5021 PAI855-035-017;OVERHAUL NH855 350HP (PISTON-3051555) + (JUEGO ANILLOS 4 RANURAS 3803471)+(CAMISA CON CAUCHOS 3055099 )+(JUEGOCASQUET BANCADA 3801260) + (JUEGOCASQUET BIELA 171765) + (CON EMPAQUETADURA SUPERIOR Y CON EMPAQUE CARTER EK35181/3804276CLE);OVERHAUL NH855 350HP (PISTON-3051555) + (JUEGO ANILLOS 4 RANURAS 3803471)+(CAMISA CON CAUCHOS 3055099 )+(JUEGOCASQUET BANCADA 3801260) + (JUEGOCASQUET BIELA 171765) + (CON EMPAQUETADURA SUPERIOR Y CON EMPAQUE CARTER EK35181/3804276CLE);MAHLE;MAHLE;MAHLE;MOTOR;1,00;$ 4.728.261,00
393-0173/370003A;#N/D;RETENEDOR EJE DE RUEDA VOY;#N/D;STEMCO;STEMCO;STEMCO;EJE DELANTERO;38,00;#N/D
85070/65159GAB;0;AMORT KW T800 DEL MD 2006 HACIA ADELANTE;AMORT KW T800 DEL MD 2006 HACIA ADELANTE;GABRIEL;AMORTIGUADORES;AMORTIGUADORES;SUSPENSION;16,00;$ 277.038,00
3006737;0;RETEN TRASERO CIGUEÑAL NTC 350 400 Y N14 (COMPAÑERO CON LA REF 3006736);RETEN TRASERO CIGUEÑAL NTC 350 400 Y N14 (COMPAÑERO CON LA REF 3006736);CUMMINS;CUMMINS;CUMMINS;MOTOR;65,00;$ 64.797,00
WAB9115159232;0;KIT REPARACION CULATA ISB BLUE BIRD - COMPRESOR WABCO (9115150090);KIT REPARACION CULATA ISB BLUE BIRD - COMPRESOR WABCO (9115150090);WABCO;WABCO;WABCO;AIRE;10,00;$ 578.466,00
514147;0;CORONA Y SPEED DIFERENCIAL RELACION 10*43 (RADIO 4,30) VIENE CON LOS 2 RODAMIENTOS LATERALES DE LA CORONA MAS LOS TORNILLOS DE FIJACIÓN DE LA CORONA SERIE-130 VW;CORONA Y SPEED DIFERENCIAL RELACION 10*43 (RADIO 4,30) VIENE CON LOS 2 RODAMIENTOS LATERALES DE LA CORONA MAS LOS TORNILLOS DE FIJACIÓN DE LA CORONA SERIE-130 VW;SPICER;DANA;DANA;DIFERENCIAL;2,00;$ 2.577.598,00
5003325;0;CAUCHO P/SOP. CA EAGLE (5003323);CAUCHO P/SOP. CA EAGLE (5003323);SPICER;DANA;DANA;DIFERENCIAL;52,00;$ 92.900,00
3020183;3006736;RETEN CIGÜEÑAL DELANTERO DEL NH350 (OEM ALTERNO 3006736) (COMPAÑERO CON LA REF 3006737);RETEN CIGÜEÑAL DELANTERO DEL NH350 (OEM ALTERNO 3006736) (COMPAÑERO CON LA REF 3006737);CUMMINS;CUMMINS;CUMMINS;MOTOR;66,00;$ 64.797,00
6-40-521KX;6-40-521TREJ 6-40-521MER 6-40-521 6-40-521WAP;KIT ESP & BOT 16E (6-40-521&-3-2651KX) CRUCTA 5-280/5-675;KIT ESP & BOT 16E (6-40-521&-3-2651KX) CRUCTA 5-280/5-675;SPICER;DANA;DANA;DIFERENCIAL;5,00;$ 897.275,00
PAI408-101-001;#N/D;OVERHAUL INTERNATIONAL DT408 PISTON 1822217 TIPO PUNTA CONTIENE KIT MOTOR 401048 (PISTON (410016 OEM 1822217) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400004 OEM 1815674) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA STD (470100 OEM 1822389) X6 PAREJAS + CASQUETERIA BANCADA STD (470120 OEM 2511360) X1 JGO + EMPAQUETADURA SUPERIOR (431251 OEM 1822328) X1 UND + EMPAQUE CARTER (431252 OEM 1826587) X1 UND CON EMPAQUE PEQUEÑO + FILTRO COMBUSTIBLE (450522 OEM 1822588) X1 UND + FILTRO ACEITE (450502 OEM 1833121) X1 UND;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;1,00;#N/D
229799-03;0;BOLSA DE AIRE LUMBAR ESPALDA TRIPLE;BOLSA DE AIRE LUMBAR ESPALDA TRIPLE;NATIONAL;CVG;CVG;VARIOS;52,00;$ 83.612,00
6.3-3-21KXWAP;0;"BOTELLA 16E DIM. 2""1/2 LAR. 11 5/32"" KW/5900BRIGADIER (CRUCETA 5-407X)";"BOTELLA 16E DIM. 2""1/2 LAR. 11 5/32"" KW/5900BRIGADIER (CRUCETA 5-407X)";WAP;WAP;WAP;DIFERENCIAL;13,00;$ 422.301,00
WG9925528010/SP554984K;3B12-301/8010GY 8010;BOLSA SUSPENSION PARA FAW DOBLETROQUE (USA 4 UND X VEHICULO) Y PARA SITRAK (USA 2 UND ADELANTE);BOLSA SUSPENSION PARA FAW DOBLETROQUE (USA 4 UND X VEHICULO) Y PARA SITRAK (USA 2 UND ADELANTE);SAMPA;SAMPA;SAMPA;SUSPENSION;15,00;$ 380.500,00
NAT50764.061;0;SILLA SIN DESCANSABRAZOS 2 BOTONES (1 ROJO Y 1 NEGRO);SILLA SIN DESCANSABRAZOS 2 BOTONES (1 ROJO Y 1 NEGRO);NATIONAL;CVG;CVG;VARIOS;2,00;$ 2.849.683,00
K3939;0;EMPAQUETADURA PRINCIPAL FO-16E318B-MXP;EMPAQUETADURA PRINCIPAL FO-16E318B-MXP;FULLER;FULLER;FULLER;TRANSMISION;32,00;$ 169.978,00
6.5-4-3911-1;0;"YOKE DIV 46E S:6"" Q:3""188 R:3""375/46LBS(210736)MIXTO CTA 5-676X";"YOKE DIV 46E S:6"" Q:3""188 R:3""375/46LBS(210736)MIXTO CTA 5-676X";SPICER;DANA;DANA;DIFERENCIAL;5,00;$ 1.006.653,00
4303596;0;PASADOR HORQUILLA MONO 16918 RTLO18913A;PASADOR HORQUILLA MONO 16918 RTLO18913A;FULLER;FULLER;FULLER;TRANSMISION;36,00;$ 145.260,00
PAIL10-101-001;#N/D;OVERHAUL CUMMINS L10 280HP PISTON (111177 OEM 3044448) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + CONTIENE (JUEGO ANILLOS 505060 OEM 3803961) + CAMISA (161625 OEM 3080760) X6 UNDS + CAUCHOS CAMISA X6 + CASQUETERIA BIELA STD (171780 OEM 3016760) X6 PAREJAS + CASQUETERIA BANCADA STD (171725 OEM 3801150 CON MEDIA LUNAS) X1 JGO + EMPAQUETADURA SUPERIOR (131265 OEM 4025155) + EMPAQUETADURA DEL CARTER (131492)+ EMPAQUE TAPA VALVULA (3034855 OEM 131268) + TERMOSTATO (181830 OEM 201737);#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;1,00;#N/D
363-4024PLAST/1612;#N/D;TAPA EJE EAGLE CON TAPON LATERAL (SKF1612);#N/D;STEMCO;STEMCO;STEMCO;EJE DELANTERO;73,00;#N/D
M21503-STDMAH/MS2328;4955352 3802070 4955853;CASQUETERIA BANCADA STD CUMMINS 6BT JGO COMPLETO (14 UNIDADES);CASQUETERIA BANCADA STD CUMMINS 6BT JGO COMPLETO (14 UNIDADES);MAHLE;MAHLE;MAHLE;MOTOR;22,00;$ 234.943,00
141297E;3930338/141297PAI;BOMBA ACEITE CUMMINS SERIE 6C / ISC / ISL;BOMBA ACEITE CUMMINS SERIE 6C / ISC / ISL;EXCEL;PAI;PAI;MOTOR;19,00;$ 268.819,00
PAI530-104-001;#N/D;OVERHAUL INTERNATIONAL DT530 PISTON RIGIDO 410043 OEM 1825593 CONTIENE JUEGO ANILLOS 1830723C92 + CAMISA (400003 OEM 1841326) X6 UNDS + CAUCHOS CAMISA X6 + CASQUETERIA BIELA STD (470100 OEM 1822389) + CASQUETERIA BANCADA STD (CASQUETES 470120 OEM 2511360 + MEDIA LUNAS 470115 OEM 1822379) X1 JGO + EMPAQUETADURA SUPERIOR (431256 OEM 1824970) X1 UND + EMPAQUETADURA CARTER (431252 OEM 1826587) X1 UND CON EMPAQUE PEQUEÑO + TERMOSTATO (481832 OEM 1830256) X1 UND NO INCLUYE FILTROS.;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;1,00;#N/D
4300247;4300247TAS;PIÑON 2DA TREN FIJO RTLO16918 FO-16E318B / RTLO16918B;PIÑON 2DA TREN FIJO RTLO16918 FO-16E318B / RTLO16918B;FULLER;FULLER;FULLER;TRANSMISION;16,00;$ 346.298,00
AF1969M;DONALDSON P150695;FILTRO AIRE PRIMARIO PARA KENWORTH EN LAS LÍNEAS T660, T680, T800, T880, W900, APLICACIÓN EN MOTORES ISX 15;FILTRO AIRE PRIMARIO PARA KENWORTH EN LAS LÍNEAS T660, T680, T800, T880, W900, APLICACIÓN EN MOTORES ISX 15;FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;13,00;$ 387.708,00
6-3-2671KX;6-3-2671KXMER 6-3-2671KX WAP;"BOTELLA CORTA 16E S:9""594(24,37cm) / ESPIGO 6-40-541 - CRUCTA 5-280/5-675";"BOTELLA CORTA 16E S:9""594(24,37cm) / ESPIGO 6-40-541 - CRUCTA 5-280/5-675";SPICER;DANA;DANA;DIFERENCIAL;6,00;$ 975.590,00
230749-1SELECT;0;CAUCHO SOPORTE CARDAN BRIG. B/88512;CAUCHO SOPORTE CARDAN BRIG. B/88512;SELECT;DANA;DANA;CARDAN;121,00;$ 42.905,00
12PK2140;0;CORREA ACANALADA POLY-V (REMPLAZO CORREA AUXILIAR) PARA MOTOR CUMMINS ISX, KW Y VOLVO SERIES VN 2003-13 / VOLVO SERIE VT 2006-10;CORREA ACANALADA POLY-V (REMPLAZO CORREA AUXILIAR) PARA MOTOR CUMMINS ISX, KW Y VOLVO SERIES VN 2003-13 / VOLVO SERIE VT 2006-10;DAYCO;DAYCO;DAYCO;MOTOR;62,00;$ 109.082,00
E21220/3044448 MAH;0;PISTON 3044448 L10 280HP SIN BULON NI PIN;PISTON 3044448 L10 280HP SIN BULON NI PIN;MAHLE;MAHLE;MAHLE;MOTOR;30,00;$ 202.042,00
A39502-4;139596;CORONA Y SPEED 10X43 4.3 120-124;CORONA Y SPEED 10X43 4.3 120-124;MERITOR;MERITOR;MERITOR;DIFERENCIAL;2,00;$ 2.586.340,00
19974;0;VÁLVULA (SLIPER) NIVELADORA AIRE TODAS;VÁLVULA (SLIPER) NIVELADORA AIRE TODAS;FULLER;FULLER;FULLER;TRANSMISION;64,00;$ 70.700,00
1809935C4-MCBEE;0;CAMISA HUMEDA MOTOR 360(120,14mm) SIN CAUCHO;CAMISA HUMEDA MOTOR 360(120,14mm) SIN CAUCHO;MCBEE;MCBEE;MCBEE;MOTOR;33,00;$ 135.296,00
ZF5334013;0;CILINDRO O CARCAZA DEL MONO O MULTIPLICADOR DONDE TRABAJA EL PISTON DE 3 TORNILLOS APLICA SOLO PARA LAS TRANSMICIONES ASIATICAS O CON INTARDER;CILINDRO O CARCAZA DEL MONO O MULTIPLICADOR DONDE TRABAJA EL PISTON DE 3 TORNILLOS APLICA SOLO PARA LAS TRANSMICIONES ASIATICAS O CON INTARDER;ZF;ZF;ZF;TRANSMISION;22,00;$ 279.655,00
CC2610;0;LIMPIADOR DE SISTEMA DE REFRIGERANTE RESTORE PLUS (SISTEMAS CON PARTICULAS SOLIDAS DE ANTICONGELANTE) (PRECIO DE VENTA PARA 1 GALON = 3.78 LITROS) (UNIDAD DE EMPAQUE X 4 UNIDADES);LIMPIADOR DE SISTEMA DE REFRIGERANTE RESTORE PLUS (SISTEMAS CON PARTICULAS SOLIDAS DE ANTICONGELANTE) (PRECIO DE VENTA PARA 1 GALON = 3.78 LITROS) (UNIDAD DE EMPAQUE X 4 UNIDADES);FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;29,00;$ 145.913,00
K073055/K052287;0;VALVULA SOLENOIDE FRENO AIRE PARA M2 106 SE;VALVULA SOLENOIDE FRENO AIRE PARA M2 106 SE;BENDIX;BENDIX;BENDIX;MOTOR;14,00;$ 380.626,00
SET361MER/802600;#N/D;SET RODILLO Y PISTA LATERAL 23-145/23-240/MR155 (JM716649/JM716610);#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;49,00;#N/D
3080708;0;ROCIADORES ACEITE ISM;ROCIADORES ACEITE ISM;CUMMINS;CUMMINS;CUMMINS;MOTOR;123,00;$ 35.428,00
4305078/4308006;#N/D;PASADOR HORQUILLA 11210C (FLAUTA);#N/D;FULLER;FULLER;FULLER;TRANSMISION;7,00;#N/D
226-4580CLE/1841326C1;0;CAMISA CON CAUCHO NARANJA REF 223-7218 INTERNATIONAL DT530 DT466E MY (KIT);CAMISA CON CAUCHO NARANJA REF 223-7218 INTERNATIONAL DT530 DT466E MY (KIT);CLEVITE;MAHLE;CLEVITE;MOTOR;24,00;$ 222.834,00
1830669C92;1830669C92/450582PAI;SENSOR INYECCION DT466 ELECTRONICO 530 NGD (ICP);SENSOR INYECCION DT466 ELECTRONICO 530 NGD (ICP);INTERNATIONAL;INTERNATIONAL;INTERNATIONAL;MOTOR;16,00;$ 351.060,00
121342/43/46/45PAI;0;KIT O RING DE TAPA DE REPARTICION FRONTAL ISM-M11 OEM (121342=3883510 USA 1UND X KIT) (121343 =3201659 USA 6UND X KIT) (121345=3820945 USA 1UND X KIT) (121346= 3820946 USA 1UND X KIT) PARA UN TOTAL DE 9 ORING;KIT O RING DE TAPA DE REPARTICION FRONTAL ISM-M11 OEM (121342=3883510 USA 1UND X KIT) (121343 =3201659 USA 6UND X KIT) (121345=3820945 USA 1UND X KIT) (121346= 3820946 USA 1UND X KIT) PARA UN TOTAL DE 9 ORING;PAI;PAI;PAI;MOTOR;63,00;$ 71.851,00
R806013A;#N/D;"RACHE AUTO CON ACCI D CTROL RAP CC 6""28E";#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;17,00;#N/D
KB876CB;0;"SPLINDER 10,39"" x 1,79"" BRONCE (INTERCAMBIABLE CON R201319) VIENE SIN TAPAS, CON BALINERA A1228D1356, DOS CUÑEROS CONTRARIOS =R201309, CAMBIAN LAS CUÑAS,";"SPLINDER 10,39"" x 1,79"" BRONCE (INTERCAMBIABLE CON R201319) VIENE SIN TAPAS, CON BALINERA A1228D1356, DOS CUÑEROS CONTRARIOS =R201309, CAMBIAN LAS CUÑAS,";ELGIN;ELGIN;ELGIN;MOTOR;8,00;$ 532.909,00
6209-2RS1TN9/GJN;0;BALINERA FAN CLUTCH HORTON VIENE CON CANASTILLA EN POLIAMIDA;BALINERA FAN CLUTCH HORTON VIENE CON CANASTILLA EN POLIAMIDA;SKF;SKF;SKF;RODAMIENTO;86,00;$ 63.654,00
S2809A;0;TAPA PORTA RETEN 16918/916 ALTA SIN RETEN DOBLE SERVICIO;TAPA PORTA RETEN 16918/916 ALTA SIN RETEN DOBLE SERVICIO;FULLER;FULLER;FULLER;TRANSMISION;10,00;$ 532.700,00
PAI3889;0;EMPAQUETADURA SUPERIOR MACK E7 MECANICO TRAEN 48 GORROS DE VALVULAS (NO VIENE EMPAQUE DE CULATA);EMPAQUETADURA SUPERIOR MACK E7 MECANICO TRAEN 48 GORROS DE VALVULAS (NO VIENE EMPAQUE DE CULATA);PAI;PAI;PAI;MOTOR;9,00;$ 565.086,00
52090-5016/SK582-2;0;AMORTIGUADOR SILLA CAREZAPATO;AMORTIGUADOR SILLA CAREZAPATO;NATIONAL;CVG;CVG;VARIOS;25,00;$ 190.918,00
VAD11 07 55;0;CULATA BLOQUE PISTON ANILLOS (ATEGO) ( NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);CULATA BLOQUE PISTON ANILLOS (ATEGO) ( NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);VADEN;VADEN;VADEN;AIRE;10,00;$ 561.285,00
KIT4426;0;KIT RODAMIENTO TRASERO 46-160 CON RETENDOR A11205A2731 (USA) ORIGEN USA;KIT RODAMIENTO TRASERO 46-160 CON RETENDOR A11205A2731 (USA) ORIGEN USA;MERITOR;MERITOR;MERITOR;DIFERENCIAL;3,00;$ 1.623.310,00
3802820;3802820/136084PAI;RETENEDOR CIGÜEÑAL DELANTERO CON CAMISA CUMMINS 4BT/6BT;RETENEDOR CIGÜEÑAL DELANTERO CON CAMISA CUMMINS 4BT/6BT;CUMMINS;CUMMINS;CUMMINS;MOTOR;28,00;$ 154.821,00
